game_id,date,home_team,away_team,home_score,away_score,status
152918,2024-03-05T18:05:00+00:00,Atlanta Braves,Detroit Tigers,3.0,0.0,Finished
152919,2024-03-05T18:05:00+00:00,Boston Red Sox,Tampa Bay Rays,7.0,4.0,Finished
152921,2024-03-05T18:05:00+00:00,Houston Astros,Miami Marlins,0.0,2.0,Finished
152922,2024-03-05T18:05:00+00:00,Pittsburgh Pirates,Toronto Blue Jays,6.0,5.0,Finished
152915,2024-03-05T18:10:00+00:00,New York Mets,New York Yankees,5.0,4.0,Finished
152916,2024-03-05T20:05:00+00:00,San Francisco Giants,Milwaukee Brewers,13.0,8.0,Finished
152920,2024-03-05T20:05:00+00:00,Cleveland Guardians,Seattle Mariners,4.0,1.0,Finished
152917,2024-03-05T20:10:00+00:00,Arizona Diamondbacks,San Diego Padres,5.0,3.0,Finished
152923,2024-03-05T20:10:00+00:00,Seattle Mariners,Texas Rangers,9.0,10.0,Finished
152924,2024-03-06T01:05:00+00:00,Los Angeles Dodgers,Los Angeles Angels,0.0,4.0,Finished
152925,2024-03-06T01:05:00+00:00,Kansas City Royals,Chicago Cubs,4.0,0.0,Finished
152926,2024-03-06T18:05:00+00:00,New York Yankees,Tampa Bay Rays,3.0,4.0,Finished
152927,2024-03-06T18:05:00+00:00,Minnesota Twins,Boston Red Sox,7.0,1.0,Finished
152933,2024-03-06T18:05:00+00:00,Houston Astros,New York Mets,,,Postponed
152937,2024-03-06T18:10:00+00:00,Miami Marlins,Washington Nationals,3.0,9.0,Finished
152928,2024-03-06T20:05:00+00:00,Chicago White Sox,Los Angeles Dodgers,9.0,12.0,Finished
152929,2024-03-06T20:05:00+00:00,Kansas City Royals,Seattle Mariners,7.0,8.0,Finished
152930,2024-03-06T20:05:00+00:00,Chicago Cubs,Los Angeles Angels,6.0,5.0,Finished
152935,2024-03-06T20:05:00+00:00,Cincinnati Reds,Milwaukee Brewers,0.0,2.0,Finished
152931,2024-03-06T20:10:00+00:00,Los Angeles Angels,Oakland Athletics,5.0,12.0,Finished
152932,2024-03-06T20:10:00+00:00,San Diego Padres,Cincinnati Reds,2.0,6.0,Finished
152936,2024-03-06T20:10:00+00:00,Colorado Rockies,Texas Rangers,6.0,6.0,Finished
152938,2024-03-06T20:10:00+00:00,Milwaukee Brewers,Cleveland Guardians,3.0,3.0,Finished
152934,2024-03-06T23:05:00+00:00,Baltimore Orioles,Pittsburgh Pirates,6.0,4.0,Finished
152939,2024-03-07T18:05:00+00:00,St.Louis Cardinals,Houston Astros,3.0,6.0,Finished
152945,2024-03-07T18:05:00+00:00,Tampa Bay Rays,Philadelphia Phillies,3.0,2.0,Finished
152948,2024-03-07T18:05:00+00:00,Boston Red Sox,Atlanta Braves,2.0,3.0,Finished
152940,2024-03-07T20:05:00+00:00,Chicago White Sox,Milwaukee Brewers,2.0,8.0,Finished
152941,2024-03-07T20:05:00+00:00,Oakland Athletics,Cleveland Guardians,1.0,2.0,Abandoned
152942,2024-03-07T20:05:00+00:00,Texas Rangers,Arizona Diamondbacks,7.0,5.0,Finished
152944,2024-03-07T20:10:00+00:00,Seattle Mariners,Los Angeles Angels,5.0,0.0,Finished
152946,2024-03-07T20:10:00+00:00,Colorado Rockies,Kansas City Royals,,,Postponed
152943,2024-03-07T23:05:00+00:00,Detroit Tigers,Toronto Blue Jays,4.0,5.0,Finished
152949,2024-03-07T23:10:00+00:00,New York Mets,Washington Nationals,3.0,1.0,Finished
152950,2024-03-07T23:35:00+00:00,New York Yankees,Detroit Tigers,5.0,11.0,Finished
152947,2024-03-08T01:05:00+00:00,Cincinnati Reds,Chicago Cubs,2.0,2.0,Finished
152951,2024-03-08T02:05:00+00:00,San Francisco Giants,Los Angeles Dodgers,0.0,0.0,Abandoned
152952,2024-03-08T18:05:00+00:00,Philadelphia Phillies,Houston Astros,6.0,3.0,Finished
152958,2024-03-08T18:05:00+00:00,Atlanta Braves,Pittsburgh Pirates,6.0,6.0,Finished
152963,2024-03-08T18:05:00+00:00,Pittsburgh Pirates,Minnesota Twins,6.0,3.0,Finished
152953,2024-03-08T18:07:00+00:00,Toronto Blue Jays,New York Yankees,2.0,1.0,Finished
152954,2024-03-08T20:05:00+00:00,Chicago Cubs,Seattle Mariners,9.0,5.0,Finished
152955,2024-03-08T20:05:00+00:00,Texas Rangers,Kansas City Royals,2.0,4.0,Finished
152960,2024-03-08T20:05:00+00:00,Cleveland Guardians,Chicago White Sox,2.0,1.0,Finished
152956,2024-03-08T20:10:00+00:00,Los Angeles Angels,Colorado Rockies,8.0,7.0,Finished
152957,2024-03-08T20:10:00+00:00,Arizona Diamondbacks,Chicago Cubs,7.0,5.0,Finished
152962,2024-03-08T20:10:00+00:00,Milwaukee Brewers,Oakland Athletics,7.0,4.0,Finished
152959,2024-03-08T23:05:00+00:00,Baltimore Orioles,Detroit Tigers,4.0,3.0,Finished
152964,2024-03-08T23:05:00+00:00,Washington Nationals,St.Louis Cardinals,6.0,7.0,Finished
152961,2024-03-08T23:40:00+00:00,Miami Marlins,New York Mets,1.0,3.0,Finished
152965,2024-03-09T01:05:00+00:00,Los Angeles Dodgers,Cincinnati Reds,0.0,4.0,Abandoned
152966,2024-03-09T01:40:00+00:00,San Diego Padres,San Francisco Giants,,,Postponed
152967,2024-03-09T02:05:00+00:00,Oakland Athletics,Milwaukee Brewers,4.0,5.0,Finished
152976,2024-03-09T17:05:00+00:00,Houston Astros,Washington Nationals,9.0,4.0,Finished
152968,2024-03-09T18:05:00+00:00,Philadelphia Phillies,Toronto Blue Jays,5.0,13.0,Finished
